classifier,impl,accuracy,macro_f1,weighted_f1,auc_macro,train_time_s
SVM RBF,sklearn,0.6316,0.6086,0.6262,0.9313,0.414
SVM Polynomial,sklearn,0.6281,0.5833,0.6159,0.9156,0.281
RandomForest,sklearn,0.6035,0.5842,0.5935,0.8947,0.16
LinearSVM,sklearn,0.5965,0.5772,0.5955,,0.168
LogisticRegression,sklearn,0.5895,0.5758,0.59,0.8966,0.06
LogisticRegression,minilearn,0.586,0.5679,0.5849,0.8971,1.441
LinearSVM,minilearn,0.5719,0.5146,0.5336,0.8919,1.808
KNN (k=5),sklearn,0.5088,0.4597,0.4818,0.8721,0.001
KNN (k=5),minilearn,0.5088,0.4597,0.4818,0.8721,0.0
GaussianNB,minilearn,0.4632,0.4542,0.4622,0.859,0.002
GaussianNB,sklearn,0.4632,0.4542,0.4622,0.859,0.004
DecisionTree (d=8),minilearn,0.3895,0.3842,0.3848,0.66,11.554
DecisionTree (d=8),sklearn,0.3895,0.3773,0.3834,0.6592,0.072
AdaBoost,sklearn,0.3754,0.356,0.3702,0.8121,1.231
